prefix,AB_ICMPv4,AB_TCPv4,AB_DNSv4,GCD_ICMPv4,GCD_TCPv4,partial,backing_prefix,ASN,locations,is_hrp,number_of_active_ips,ip_utilization,clean_locations,scope,continent,country
198.41.219.0/24,7,7,0,7,2,False,198.41.219.0/24,13335,"[{'city': 'Miami', 'country_code': 'US', 'id': 'MIA', 'lat': 25.7932, 'lon': -80.2906}
 {'city': 'Atlanta', 'country_code': 'US', 'id': 'PDK', 'lat': 33.8756, 'lon': -84.302}
 {'city': 'Dallas', 'country_code': 'US', 'id': 'DAL', 'lat': 32.8471, 'lon': -96.8518}
 {'city': 'New York', 'country_code': 'US', 'id': 'LGA', 'lat': 40.7772, 'lon': -73.8726}
 {'city': 'San Jose', 'country_code': 'US', 'id': 'SJC', 'lat': 37.3626, 'lon': -121.929}
 {'city': 'Baltimore', 'country_code': 'US', 'id': 'BWI', 'lat': 39.1754, 'lon': -76.6683}
 {'city': 'Vancouver', 'country_code': 'CA', 'id': 'YVR', 'lat': 49.1939, 'lon': -123.184}]",True,256,1.0,"[{'city': 'Miami', 'country_code': 'US', 'id': 'MIA', 'lat': 25.7932, 'lon': -80.2906}, {'city': 'Atlanta', 'country_code': 'US', 'id': 'PDK', 'lat': 33.8756, 'lon': -84.302}, {'city': 'Dallas', 'country_code': 'US', 'id': 'DAL', 'lat': 32.8471, 'lon': -96.8518}, {'city': 'New York', 'country_code': 'US', 'id': 'LGA', 'lat': 40.7772, 'lon': -73.8726}, {'city': 'San Jose', 'country_code': 'US', 'id': 'SJC', 'lat': 37.3626, 'lon': -121.929}, {'city': 'Baltimore', 'country_code': 'US', 'id': 'BWI', 'lat': 39.1754, 'lon': -76.6683}, {'city': 'Vancouver', 'country_code': 'CA', 'id': 'YVR', 'lat': 49.1939, 'lon': -123.184}]",Continental,NA,
199.103.25.0/24,8,0,0,12,0,False,199.103.25.0/24,396986,"[{'city': 'Amsterdam', 'country_code': 'NL', 'id': 'AMX', 'lat': 52.3086, 'lon': 4.76389}
 {'city': 'Frankfurt-am-Main', 'country_code': 'DE', 'id': 'FRA', 'lat': 50.0264, 'lon': 8.54313}
 {'city': 'Paris', 'country_code': 'FR', 'id': 'CDG', 'lat': 49.0128, 'lon': 2.55}
 {'city': 'Liverpool', 'country_code': 'GB', 'id': 'LPL', 'lat': 53.3336, 'lon': -2.84972}
 {'city': 'Stockholm', 'country_code': 'SE', 'id': 'BMA', 'lat': 59.3544, 'lon': 17.9417}
 {'city': 'Marseille', 'country_code': 'FR', 'id': 'MRS', 'lat': 43.43927, 'lon': 5.221424}
 {'city': 'Warsaw', 'country_code': 'PL', 'id': 'WAW', 'lat': 52.1657, 'lon': 20.9671}
 {'city': None, 'country_code': None, 'id': 'NoCity', 'lat': 40.43, 'lon': 3.42}
 {'city': 'Milan', 'country_code': 'IT', 'id': 'MXP', 'lat': 45.6306, 'lon': 8.72811}
 {'city': 'London', 'country_code': 'GB', 'id': 'LHR', 'lat': 51.4706, 'lon': -0.461941}
 {'city': 'Vienna', 'country_code': 'AT', 'id': 'WIE', 'lat': 48.1103, 'lon': 16.5697}
 {'city': 'Madrid', 'country_code': 'ES', 'id': 'MAD', 'lat': 40.4936, 'lon': -3.56676}]",False,1,0.00390625,"[{'city': 'Amsterdam', 'country_code': 'NL', 'id': 'AMX', 'lat': 52.3086, 'lon': 4.76389}, {'city': 'Frankfurt-am-Main', 'country_code': 'DE', 'id': 'FRA', 'lat': 50.0264, 'lon': 8.54313}, {'city': 'Paris', 'country_code': 'FR', 'id': 'CDG', 'lat': 49.0128, 'lon': 2.55}, {'city': 'Liverpool', 'country_code': 'GB', 'id': 'LPL', 'lat': 53.3336, 'lon': -2.84972}, {'city': 'Stockholm', 'country_code': 'SE', 'id': 'BMA', 'lat': 59.3544, 'lon': 17.9417}, {'city': 'Marseille', 'country_code': 'FR', 'id': 'MRS', 'lat': 43.43927, 'lon': 5.221424}, {'city': 'Warsaw', 'country_code': 'PL', 'id': 'WAW', 'lat': 52.1657, 'lon': 20.9671}, {'city': None, 'country_code': None, 'id': 'NoCity', 'lat': 40.43, 'lon': 3.42}, {'city': 'Milan', 'country_code': 'IT', 'id': 'MXP', 'lat': 45.6306, 'lon': 8.72811}, {'city': 'London', 'country_code': 'GB', 'id': 'LHR', 'lat': 51.4706, 'lon': -0.461941}, {'city': 'Vienna', 'country_code': 'AT', 'id': 'WIE', 'lat': 48.1103, 'lon': 16.5697}, {'city': 'Madrid', 'country_code': 'ES', 'id': 'MAD', 'lat': 40.4936, 'lon': -3.56676}]",Continental,EU,
199.116.165.0/24,2,2,2,2,0,False,199.116.165.0/24,40428,"[{'city': 'San Jose', 'country_code': 'US', 'id': 'SJC', 'lat': 37.3626, 'lon': -121.929}
 {'city': 'Baltimore', 'country_code': 'US', 'id': 'BWI', 'lat': 39.1754, 'lon': -76.6683}]",False,5,0.01953125,"[{'city': 'San Jose', 'country_code': 'US', 'id': 'SJC', 'lat': 37.3626, 'lon': -121.929}, {'city': 'Baltimore', 'country_code': 'US', 'id': 'BWI', 'lat': 39.1754, 'lon': -76.6683}]",National,NA,US
199.120.243.0/24,3,0,3,3,0,False,199.120.243.0/24,62766,"[{'city': 'Atlanta', 'country_code': 'US', 'id': 'PDK', 'lat': 33.8756, 'lon': -84.302}
 {'city': 'Dallas', 'country_code': 'US', 'id': 'DAL', 'lat': 32.8471, 'lon': -96.8518}
 {'city': 'Miami', 'country_code': 'US', 'id': 'TMB', 'lat': 25.6479, 'lon': -80.4328}]",False,2,0.0078125,"[{'city': 'Atlanta', 'country_code': 'US', 'id': 'PDK', 'lat': 33.8756, 'lon': -84.302}, {'city': 'Dallas', 'country_code': 'US', 'id': 'DAL', 'lat': 32.8471, 'lon': -96.8518}, {'city': 'Miami', 'country_code': 'US', 'id': 'TMB', 'lat': 25.6479, 'lon': -80.4328}]",National,NA,US
199.180.180.0/24,3,1,2,3,2,False,199.180.180.0/23,53535,"[{'city': 'San Jose', 'country_code': 'US', 'id': 'SJC', 'lat': 37.3626, 'lon': -121.929}
 {'city': 'Baltimore', 'country_code': 'US', 'id': 'BWI', 'lat': 39.1754, 'lon': -76.6683}
 {'city': 'Vancouver', 'country_code': 'CA', 'id': 'YVR', 'lat': 49.1939, 'lon': -123.184}]",False,1,0.00390625,"[{'city': 'San Jose', 'country_code': 'US', 'id': 'SJC', 'lat': 37.3626, 'lon': -121.929}, {'city': 'Baltimore', 'country_code': 'US', 'id': 'BWI', 'lat': 39.1754, 'lon': -76.6683}, {'city': 'Vancouver', 'country_code': 'CA', 'id': 'YVR', 'lat': 49.1939, 'lon': -123.184}]",Continental,NA,
199.180.182.0/24,3,3,3,3,1,False,199.180.182.0/24,53535,"[{'city': 'San Jose', 'country_code': 'US', 'id': 'SJC', 'lat': 37.3626, 'lon': -121.929}
 {'city': 'Baltimore', 'country_code': 'US', 'id': 'BWI', 'lat': 39.1754, 'lon': -76.6683}
 {'city': 'Vancouver', 'country_code': 'CA', 'id': 'YVR', 'lat': 49.1939, 'lon': -123.184}]",False,1,0.00390625,"[{'city': 'San Jose', 'country_code': 'US', 'id': 'SJC', 'lat': 37.3626, 'lon': -121.929}, {'city': 'Baltimore', 'country_code': 'US', 'id': 'BWI', 'lat': 39.1754, 'lon': -76.6683}, {'city': 'Vancouver', 'country_code': 'CA', 'id': 'YVR', 'lat': 49.1939, 'lon': -123.184}]",Continental,NA,
199.182.205.0/24,3,0,0,5,0,False,199.182.205.0/24,35280,"[{'city': 'San Jose', 'country_code': 'US', 'id': 'SJC', 'lat': 37.3626, 'lon': -121.929}
 {'city': 'New York', 'country_code': 'US', 'id': 'LGA', 'lat': 40.7772, 'lon': -73.8726}
 {'city': 'Dallas', 'country_code': 'US', 'id': 'DAL', 'lat': 32.8471, 'lon': -96.8518}
 {'city': 'Baltimore', 'country_code': 'US', 'id': 'BWI', 'lat': 39.1754, 'lon': -76.6683}
 {'city': 'Seattle', 'country_code': 'US', 'id': 'BFI', 'lat': 47.53, 'lon': -122.302}]",False,0,0.0,"[{'city': 'San Jose', 'country_code': 'US', 'id': 'SJC', 'lat': 37.3626, 'lon': -121.929}, {'city': 'New York', 'country_code': 'US', 'id': 'LGA', 'lat': 40.7772, 'lon': -73.8726}, {'city': 'Dallas', 'country_code': 'US', 'id': 'DAL', 'lat': 32.8471, 'lon': -96.8518}, {'city': 'Baltimore', 'country_code': 'US', 'id': 'BWI', 'lat': 39.1754, 'lon': -76.6683}, {'city': 'Seattle', 'country_code': 'US', 'id': 'BFI', 'lat': 47.53, 'lon': -122.302}]",National,NA,US
199.184.165.0/24,2,0,1,3,0,False,199.184.165.0/24,6079,"[{'city': 'New York', 'country_code': 'US', 'id': 'LGA', 'lat': 40.7772, 'lon': -73.8726}
 {'city': 'Baltimore', 'country_code': 'US', 'id': 'BWI', 'lat': 39.1754, 'lon': -76.6683}
 {'city': 'Chicago', 'country_code': 'US', 'id': 'ORD', 'lat': 41.9786, 'lon': -87.9048}]",False,0,0.0,"[{'city': 'New York', 'country_code': 'US', 'id': 'LGA', 'lat': 40.7772, 'lon': -73.8726}, {'city': 'Baltimore', 'country_code': 'US', 'id': 'BWI', 'lat': 39.1754, 'lon': -76.6683}, {'city': 'Chicago', 'country_code': 'US', 'id': 'ORD', 'lat': 41.9786, 'lon': -87.9048}]",National,NA,US
199.185.174.0/24,3,3,3,3,1,False,199.185.174.0/24,2728,"[{'city': 'Miami', 'country_code': 'US', 'id': 'TMB', 'lat': 25.6479, 'lon': -80.4328}
 {'city': 'Atlanta', 'country_code': 'US', 'id': 'PDK', 'lat': 33.8756, 'lon': -84.302}
 {'city': 'Dallas', 'country_code': 'US', 'id': 'DAL', 'lat': 32.8471, 'lon': -96.8518}]",False,1,0.00390625,"[{'city': 'Miami', 'country_code': 'US', 'id': 'TMB', 'lat': 25.6479, 'lon': -80.4328}, {'city': 'Atlanta', 'country_code': 'US', 'id': 'PDK', 'lat': 33.8756, 'lon': -84.302}, {'city': 'Dallas', 'country_code': 'US', 'id': 'DAL', 'lat': 32.8471, 'lon': -96.8518}]",National,NA,US
199.185.175.0/24,3,3,3,3,1,False,199.185.175.0/24,2728,"[{'city': 'Miami', 'country_code': 'US', 'id': 'TMB', 'lat': 25.6479, 'lon': -80.4328}
 {'city': 'Atlanta', 'country_code': 'US', 'id': 'PDK', 'lat': 33.8756, 'lon': -84.302}
 {'city': 'Dallas', 'country_code': 'US', 'id': 'DAL', 'lat': 32.8471, 'lon': -96.8518}]",False,3,0.01171875,"[{'city': 'Miami', 'country_code': 'US', 'id': 'TMB', 'lat': 25.6479, 'lon': -80.4328}, {'city': 'Atlanta', 'country_code': 'US', 'id': 'PDK', 'lat': 33.8756, 'lon': -84.302}, {'city': 'Dallas', 'country_code': 'US', 'id': 'DAL', 'lat': 32.8471, 'lon': -96.8518}]",National,NA,US
199.232.144.0/24,1,0,0,2,0,False,199.232.144.0/22,54113,"[{'city': 'New York', 'country_code': 'US', 'id': 'LGA', 'lat': 40.7772, 'lon': -73.8726}
 {'city': 'Seattle', 'country_code': 'US', 'id': 'BFI', 'lat': 47.53, 'lon': -122.302}]",True,256,1.0,"[{'city': 'New York', 'country_code': 'US', 'id': 'LGA', 'lat': 40.7772, 'lon': -73.8726}, {'city': 'Seattle', 'country_code': 'US', 'id': 'BFI', 'lat': 47.53, 'lon': -122.302}]",National,NA,US
199.232.145.0/24,1,0,0,2,0,False,199.232.144.0/22,54113,"[{'city': 'New York', 'country_code': 'US', 'id': 'LGA', 'lat': 40.7772, 'lon': -73.8726}
 {'city': 'Seattle', 'country_code': 'US', 'id': 'BFI', 'lat': 47.53, 'lon': -122.302}]",True,256,1.0,"[{'city': 'New York', 'country_code': 'US', 'id': 'LGA', 'lat': 40.7772, 'lon': -73.8726}, {'city': 'Seattle', 'country_code': 'US', 'id': 'BFI', 'lat': 47.53, 'lon': -122.302}]",National,NA,US
199.232.146.0/24,1,0,0,2,0,False,199.232.144.0/22,54113,"[{'city': 'New York', 'country_code': 'US', 'id': 'LGA', 'lat': 40.7772, 'lon': -73.8726}
 {'city': 'Seattle', 'country_code': 'US', 'id': 'BFI', 'lat': 47.53, 'lon': -122.302}]",True,256,1.0,"[{'city': 'New York', 'country_code': 'US', 'id': 'LGA', 'lat': 40.7772, 'lon': -73.8726}, {'city': 'Seattle', 'country_code': 'US', 'id': 'BFI', 'lat': 47.53, 'lon': -122.302}]",National,NA,US
199.232.147.0/24,1,0,0,2,0,False,199.232.144.0/22,54113,"[{'city': 'New York', 'country_code': 'US', 'id': 'LGA', 'lat': 40.7772, 'lon': -73.8726}
 {'city': 'Seattle', 'country_code': 'US', 'id': 'BFI', 'lat': 47.53, 'lon': -122.302}]",True,256,1.0,"[{'city': 'New York', 'country_code': 'US', 'id': 'LGA', 'lat': 40.7772, 'lon': -73.8726}, {'city': 'Seattle', 'country_code': 'US', 'id': 'BFI', 'lat': 47.53, 'lon': -122.302}]",National,NA,US
199.232.152.0/24,1,0,0,2,0,False,199.232.152.0/22,54113,"[{'city': 'New York', 'country_code': 'US', 'id': 'LGA', 'lat': 40.7772, 'lon': -73.8726}
 {'city': 'Phoenix', 'country_code': 'US', 'id': 'PHX', 'lat': 33.4343, 'lon': -112.012}]",True,256,1.0,"[{'city': 'New York', 'country_code': 'US', 'id': 'LGA', 'lat': 40.7772, 'lon': -73.8726}, {'city': 'Phoenix', 'country_code': 'US', 'id': 'PHX', 'lat': 33.4343, 'lon': -112.012}]",National,NA,US
199.232.153.0/24,1,0,0,2,0,False,199.232.152.0/22,54113,"[{'city': 'New York', 'country_code': 'US', 'id': 'LGA', 'lat': 40.7772, 'lon': -73.8726}
 {'city': 'Phoenix', 'country_code': 'US', 'id': 'PHX', 'lat': 33.4343, 'lon': -112.012}]",True,256,1.0,"[{'city': 'New York', 'country_code': 'US', 'id': 'LGA', 'lat': 40.7772, 'lon': -73.8726}, {'city': 'Phoenix', 'country_code': 'US', 'id': 'PHX', 'lat': 33.4343, 'lon': -112.012}]",National,NA,US
199.232.154.0/24,1,0,0,2,0,False,199.232.152.0/22,54113,"[{'city': 'New York', 'country_code': 'US', 'id': 'LGA', 'lat': 40.7772, 'lon': -73.8726}
 {'city': 'Phoenix', 'country_code': 'US', 'id': 'PHX', 'lat': 33.4343, 'lon': -112.012}]",True,256,1.0,"[{'city': 'New York', 'country_code': 'US', 'id': 'LGA', 'lat': 40.7772, 'lon': -73.8726}, {'city': 'Phoenix', 'country_code': 'US', 'id': 'PHX', 'lat': 33.4343, 'lon': -112.012}]",National,NA,US
199.232.155.0/24,1,0,0,2,0,False,199.232.152.0/22,54113,"[{'city': 'New York', 'country_code': 'US', 'id': 'LGA', 'lat': 40.7772, 'lon': -73.8726}
 {'city': 'Phoenix', 'country_code': 'US', 'id': 'PHX', 'lat': 33.4343, 'lon': -112.012}]",True,256,1.0,"[{'city': 'New York', 'country_code': 'US', 'id': 'LGA', 'lat': 40.7772, 'lon': -73.8726}, {'city': 'Phoenix', 'country_code': 'US', 'id': 'PHX', 'lat': 33.4343, 'lon': -112.012}]",National,NA,US
199.232.156.0/24,1,0,0,2,0,False,199.232.156.0/22,54113,"[{'city': 'Querétaro', 'country_code': 'MX', 'id': 'QRO', 'lat': 20.6173, 'lon': -100.186}
 {'city': 'New York', 'country_code': 'US', 'id': 'LGA', 'lat': 40.7772, 'lon': -73.8726}]",True,256,1.0,"[{'city': 'Querétaro', 'country_code': 'MX', 'id': 'QRO', 'lat': 20.6173, 'lon': -100.186}, {'city': 'New York', 'country_code': 'US', 'id': 'LGA', 'lat': 40.7772, 'lon': -73.8726}]",Continental,NA,
199.232.157.0/24,1,0,0,2,0,False,199.232.156.0/22,54113,"[{'city': 'Querétaro', 'country_code': 'MX', 'id': 'QRO', 'lat': 20.6173, 'lon': -100.186}
 {'city': 'New York', 'country_code': 'US', 'id': 'LGA', 'lat': 40.7772, 'lon': -73.8726}]",True,255,0.99609375,"[{'city': 'Querétaro', 'country_code': 'MX', 'id': 'QRO', 'lat': 20.6173, 'lon': -100.186}, {'city': 'New York', 'country_code': 'US', 'id': 'LGA', 'lat': 40.7772, 'lon': -73.8726}]",Continental,NA,
199.232.158.0/24,1,0,0,2,0,False,199.232.156.0/22,54113,"[{'city': 'Querétaro', 'country_code': 'MX', 'id': 'QRO', 'lat': 20.6173, 'lon': -100.186}
 {'city': 'New York', 'country_code': 'US', 'id': 'LGA', 'lat': 40.7772, 'lon': -73.8726}]",True,256,1.0,"[{'city': 'Querétaro', 'country_code': 'MX', 'id': 'QRO', 'lat': 20.6173, 'lon': -100.186}, {'city': 'New York', 'country_code': 'US', 'id': 'LGA', 'lat': 40.7772, 'lon': -73.8726}]",Continental,NA,
199.232.159.0/24,1,0,0,2,0,False,199.232.156.0/22,54113,"[{'city': 'Querétaro', 'country_code': 'MX', 'id': 'QRO', 'lat': 20.6173, 'lon': -100.186}
 {'city': 'New York', 'country_code': 'US', 'id': 'LGA', 'lat': 40.7772, 'lon': -73.8726}]",True,256,1.0,"[{'city': 'Querétaro', 'country_code': 'MX', 'id': 'QRO', 'lat': 20.6173, 'lon': -100.186}, {'city': 'New York', 'country_code': 'US', 'id': 'LGA', 'lat': 40.7772, 'lon': -73.8726}]",Continental,NA,
199.232.180.0/24,1,0,0,2,0,False,199.232.0.0/16,54113,"[{'city': 'New York', 'country_code': 'US', 'id': 'LGA', 'lat': 40.7772, 'lon': -73.8726}
 {'city': 'Chicago', 'country_code': 'US', 'id': 'ORD', 'lat': 41.9786, 'lon': -87.9048}]",True,255,0.99609375,"[{'city': 'New York', 'country_code': 'US', 'id': 'LGA', 'lat': 40.7772, 'lon': -73.8726}, {'city': 'Chicago', 'country_code': 'US', 'id': 'ORD', 'lat': 41.9786, 'lon': -87.9048}]",National,NA,US
199.232.181.0/24,1,0,0,2,0,False,199.232.0.0/16,54113,"[{'city': 'New York', 'country_code': 'US', 'id': 'LGA', 'lat': 40.7772, 'lon': -73.8726}
 {'city': 'Chicago', 'country_code': 'US', 'id': 'ORD', 'lat': 41.9786, 'lon': -87.9048}]",True,256,1.0,"[{'city': 'New York', 'country_code': 'US', 'id': 'LGA', 'lat': 40.7772, 'lon': -73.8726}, {'city': 'Chicago', 'country_code': 'US', 'id': 'ORD', 'lat': 41.9786, 'lon': -87.9048}]",National,NA,US
